_id,PID,CM_ID,GIS_ID,ST_NUM,ST_NAME,UNIT_NUM,CITY,ZIP_CODE,BLDG_SEQ,NUM_BLDGS,LUC,LU,LU_DESC,BLDG_TYPE,OWN_OCC,OWNER,MAIL_ADDRESSEE,MAIL_STREET_ADDRESS,MAIL_CITY,MAIL_STATE,MAIL_ZIP_CODE,RES_FLOOR,CD_FLOOR,RES_UNITS,COM_UNITS,RC_UNITS,LAND_SF,GROSS_AREA,LIVING_AREA,LAND_VALUE,BLDG_VALUE,SFYI_VALUE,TOTAL_VALUE,GROSS_TAX,YR_BUILT,YR_REMODEL,STRUCTURE_CLASS,ROOF_STRUCTURE,ROOF_COVER,INT_WALL,EXT_FNISHED,INT_COND,EXT_COND,OVERALL_COND,BED_RMS,FULL_BTH,HLF_BTH,KITCHENS,TT_RMS,BDRM_COND,BTHRM_STYLE1,BTHRM_STYLE2,BTHRM_STYLE3,KITCHEN_TYPE,KITCHEN_STYLE1,KITCHEN_STYLE2,KITCHEN_STYLE3,HEAT_TYPE,HEAT_SYSTEM,AC_TYPE,FIREPLACES,ORIENTATION,NUM_PARKING,PROP_VIEW,CORNER_UNIT,Lat,Long
4180,0103504000,,0103504000,31,FALCON ST,,EAST BOSTON,02128,1,1,104,R2,TWO-FAM DWELLING,CV - Conventional,N,REAL ESTATE BOSTON LLC,,58 GAINSBOROUGH ST,BOSTON,MA,02115,2,,,,,"2,625",5699,3403.6,"238,600","519,000",0,"757,600","$8,257.84 ",1910,,,G - Gable,A - Asphalt Shingl,N - Normal,M - Vinyl,A - Average,A - Average,A - Average,5,3,0,2,13,,S - Semi-Modern,S - Semi-Modern,S - Semi-Modern,2F - 2 Full Eat In Kitchens,M - Modern,S - Semi-Modern,,W - Ht Water/Steam,,N - None,0,,0,A - Average,,42.3418872,-71.0873303
5204,0104082000,,0104082000,165,GOVE ST,,EAST BOSTON,02128,1,1,111,R4,APT 4-6 UNITS,111 - APT 4-6 UNITS,N,REAL ESTATE BOSTON LLC,,58 GAINSBOROUGH ST,BOSTON,MA,02115,3,,,,,"2,800",8188,6288,"274,000","865,800",0,"1,139,800","$12,423.82 ",1905,,C - Brick/Concr,,,,01 - Brick,,,A - Average,,0,0,0,,,,,,,,,,,,,,,,,,42.3418872,-71.0873303
8887,0106009000,,0106009000,13,Saratoga ST,,EAST BOSTON,02128,1,1,104,R2,TWO-FAM DWELLING,TF - Two Fam Stack,N,REAL ESTATE BOSTON LLC,,58 GAINSBOROUGH ST,BOSTON,MA,02115,2,,,,,"1,852",2588,1614,"220,400","400,600",0,"621,000","$6,768.90 ",1880,,,G - Gable,A - Asphalt Shingl,N - Normal,M - Vinyl,A - Average,A - Average,A - Average,4,2,0,2,8,,S - Semi-Modern,S - Semi-Modern,,2F - 2 Full Eat In Kitchens,S - Semi-Modern,S - Semi-Modern,,W - Ht Water/Steam,,N - None,0,,0,A - Average,,42.3418872,-71.0873303
8995,0106098000,,0106098000,57,Bennington ST,,EAST BOSTON,02128,1,1,111,R4,APT 4-6 UNITS,111 - APT 4-6 UNITS,N,REAL ESTATE BOSTON LLC,,58 GAINSBOROUGH ST,BOSTON,MA,02115,4,,,,,"1,833",5000,5000,"113,200","601,400",0,"714,600","$7,789.14 ",1910,,D - Wood/Frame,,,,01 - Brick,,,A - Average,,0,0,0,,,,,,,,,,,,,,,,,,42.3418872,-71.0873303
38592,0401404256,0401404000,0401404000,12,Stoneholm ST,PS-13,BOSTON,02115,1,1,108,CP,CONDO PARKING (RES),MR - Mid Rise,N,REAL ESTATE BOSTON LLC,,58 GAINSBOROUGH ST,BOSTON,MA,02115,,,,,,,,,0,"90,000",0,"90,000",$981.00 ,1920,2017,,F - Flat,R - Rubber Roof,,C - Cement Board,,G - Good,G - Good,,0,0,0,,,,,,,,,,,,,,,,,,42.3418872,-71.0873303
38593,0401404257,0401404000,0401404000,12,Stoneholm ST,PS-14,BOSTON,02115,1,1,108,CP,CONDO PARKING (RES),MR - Mid Rise,N,REAL ESTATE BOSTON LLC,,58 GAINSBOROUGH ST,BOSTON,MA,02115,,,,,,,,,0,"90,000",0,"90,000",$981.00 ,1920,2017,,F - Flat,R - Rubber Roof,,C - Cement Board,,G - Good,G - Good,,0,0,0,,,,,,,,,,,,,,,,,,42.3418872,-71.0873303
39258,0401597002,0401597000,0401597000,71,Gainsborough ST,101E,BOSTON,02115,1,1,102,CD,RESIDENTIAL CONDO,RM - Row Middle,N,REAL ESTATE BOSTON LLC,,58 GAINSBOROUGH ST,BOSTON,MA,02115,1,1,,,,"1,165",1165,1165,0,"947,300",0,"947,300","$10,325.57 ",1900,1986,,F - Flat,C - Composition,N - Normal,B - Brick/Stone,G - Good,G - Good,A - Average,2,1,0,1,5,A - Average,M - Modern,,,F - Full Eat In,M - Modern,,,E - Electric,Y - Self Contained,N - None,1,T - Through,0,A - Average,N - No,42.3418872,-71.0873303
39259,0401597004,0401597000,0401597000,71,Gainsborough ST,201E,BOSTON,02115,1,1,102,CD,RESIDENTIAL CONDO,RM - Row Middle,N,REAL ESTATE BOSTON LLC,,58 GAINSBOROUGH ST,BOSTON,MA,02115,1,2,,,,"1,265",1265,1265,0,"1,030,600",0,"1,030,600","$11,233.54 ",1900,1986,,F - Flat,C - Composition,N - Normal,B - Brick/Stone,G - Good,G - Good,A - Average,2,1,0,1,4,A - Average,M - Modern,,,F - Full Eat In,M - Modern,,,E - Electric,Y - Self Contained,N - None,1,T - Through,0,A - Average,N - No,42.3418872,-71.0873303
39260,0401597006,0401597000,0401597000,71,Gainsborough ST,301E,BOSTON,02115,1,1,102,CD,RESIDENTIAL CONDO,RM - Row Middle,N,REAL ESTATE BOSTON LLC,,58 GAINSBOROUGH ST,BOSTON,MA,02115,1,3,,,,510,510,510,0,"475,600",0,"475,600","$5,184.04 ",1900,1986,,F - Flat,C - Composition,N - Normal,B - Brick/Stone,A - Average,G - Good,A - Average,1,1,0,1,3,A - Average,S - Semi-Modern,,,O - One Person,S - Semi-Modern,,,E - Electric,Y - Self Contained,N - None,1,F - Front/Street,0,A - Average,N - No,42.3418872,-71.0873303
39262,0401597010,0401597000,0401597000,73,Gainsborough ST,101W,BOSTON,02115,1,1,102,CD,RESIDENTIAL CONDO,RM - Row Middle,N,REAL ESTATE BOSTON LLC,,58 GAINSBOROUGH ST,BOSTON,MA,02115,1,1,,,,"1,165",1165,1165,0,"947,300",0,"947,300","$10,325.57 ",1900,1986,,F - Flat,C - Composition,N - Normal,B - Brick/Stone,G - Good,G - Good,A - Average,2,1,0,1,5,A - Average,M - Modern,,,F - Full Eat In,M - Modern,,,E - Electric,Y - Self Contained,N - None,1,T - Through,0,A - Average,N - No,42.3418872,-71.0873303
39263,0401597012,0401597000,0401597000,73,Gainsborough ST,201W,BOSTON,02115,1,1,102,CD,RESIDENTIAL CONDO,RM - Row Middle,N,REAL ESTATE BOSTON LLC,,58 GAINSBOROUGH ST,BOSTON,MA,02115,1,2,,,,510,510,510,0,"512,800",0,"512,800","$5,589.52 ",1900,1986,,F - Flat,C - Composition,N - Normal,B - Brick/Stone,G - Good,G - Good,A - Average,1,1,0,1,3,A - Average,M - Modern,,,O - One Person,M - Modern,,,E - Electric,Y - Self Contained,N - None,1,F - Front/Street,0,A - Average,N - No,42.3418872,-71.0873303
39264,0401597014,0401597000,0401597000,73,Gainsborough ST,202W,BOSTON,02115,1,1,102,CD,RESIDENTIAL CONDO,RM - Row Middle,N,REAL ESTATE BOSTON LLC,,58 GAINSBOROUGH ST,BOSTON,MA,02115,1,2,,,,703,703,703,0,"577,000",0,"577,000","$6,289.30 ",1900,1986,,F - Flat,C - Composition,N - Normal,B - Brick/Stone,G - Good,G - Good,A - Average,1,1,0,1,3,A - Average,M - Modern,,,O - One Person,M - Modern,,,E - Electric,Y - Self Contained,N - None,0,A - Rear Above,0,A - Average,N - No,42.3418872,-71.0873303
